"geoid","geoid2","geodisplaylabel","hc02_est_vc02"
"1400000US48029151200","48029151200","Census Tract 1512, Bexar County, Texas","45067"
"1400000US48029151301","48029151301","Census Tract 1513.01, Bexar County, Texas","37652"
"1400000US48029151302","48029151302","Census Tract 1513.02, Bexar County, Texas","42083"
"1400000US48029151400","48029151400","Census Tract 1514, Bexar County, Texas","31161"
"1400000US48029151500","48029151500","Census Tract 1515, Bexar County, Texas","40400"
"1400000US48029151600","48029151600","Census Tract 1516, Bexar County, Texas","40071"
"1400000US48029151700","48029151700","Census Tract 1517, Bexar County, Texas","43259"
"1400000US48029151900","48029151900","Census Tract 1519, Bexar County, Texas","45276"
"1400000US48029152000","48029152000","Census Tract 1520, Bexar County, Texas","37734"
"1400000US48029152100","48029152100","Census Tract 1521, Bexar County, Texas","44564"
"1400000US48029152201","48029152201","Census Tract 1522.01, Bexar County, Texas","43732"
"1400000US48029152202","48029152202","Census Tract 1522.02, Bexar County, Texas","53778"
"1400000US48029160100","48029160100","Census Tract 1601, Bexar County, Texas","22986"
"1400000US48029160200","48029160200","Census Tract 1602, Bexar County, Texas","36458"
"1400000US48029160300","48029160300","Census Tract 1603, Bexar County, Texas","32168"
"1400000US48029160400","48029160400","Census Tract 1604, Bexar County, Texas","31656"
"1400000US48029160501","48029160501","Census Tract 1605.01, Bexar County, Texas","16939"
"1400000US48029160502","48029160502","Census Tract 1605.02, Bexar County, Texas","38279"
"1400000US48029160600","48029160600","Census Tract 1606, Bexar County, Texas","23477"
"1400000US48029160701","48029160701","Census Tract 1607.01, Bexar County, Texas","29735"
"1400000US48029160702","48029160702","Census Tract 1607.02, Bexar County, Texas","22076"
"1400000US48029160901","48029160901","Census Tract 1609.01, Bexar County, Texas","32826"
"1400000US48029160902","48029160902","Census Tract 1609.02, Bexar County, Texas","30927"
"1400000US48029161000","48029161000","Census Tract 1610, Bexar County, Texas","24097"
"1400000US48029161100","48029161100","Census Tract 1611, Bexar County, Texas","38441"
"1400000US48029161200","48029161200","Census Tract 1612, Bexar County, Texas","35404"
"1400000US48029161302","48029161302","Census Tract 1613.02, Bexar County, Texas","39018"
"1400000US48029161303","48029161303","Census Tract 1613.03, Bexar County, Texas","38084"
